year,tu,td
2190,6.87626924264141,6.43592402295409
2191,6.90475841700714,6.46877993728933
2192,6.93256776544699,6.50128218828661
2193,6.96044463549018,6.53346029258664
2194,6.9887287532908,6.56536550631279
2195,7.01710224826835,6.59702321718903
2196,7.04607312916069,6.62849263502001
2197,7.07661094738172,6.65989676635032
2198,7.10761096061391,6.69127257708431
2199,7.13771686422623,6.72255939272722
2200,7.1656654888318,6.75361226794222
2201,7.19233930337115,6.78435825858508
2202,7.21764925353556,6.81472329151121
2203,7.24341996482684,6.84476635437717
2204,7.26923799649803,6.874513327057
2205,7.29445890240926,6.90394311297769
2206,7.31993227926129,6.93309563375084
2207,7.34520304229272,6.96197612094146
2208,7.37111158553312,6.99064833430004
2209,7.39792898840389,7.01919056253964
2210,7.4250424687189,7.04763266412468
2211,7.45178724423026,7.07595581709848
2212,7.47722267764464,7.10407659868556
2213,7.50199833039849,7.131962953644
2214,7.52543894907478,7.15953775140379
2215,7.54879689624335,7.18681703227414
2216,7.57087585279607,7.21373187441632
2217,7.59307644482265,7.2403163419104
2218,7.61595385063632,7.26664101852191
2219,7.6390884675146,7.29274213574732
2220,7.66325447011647,7.31870764013991
2221,7.68831132910602,7.34460946666265
2222,7.71304840851327,7.37042966770754
2223,7.73829956483567,7.39620999009828
2224,7.76053239851173,7.4217417044799
2225,7.78106745639618,7.44692325317419
2226,7.80112378719863,7.47174562659862
2227,7.82048442618842,7.49618524167388
2228,7.84067210346875,7.52032688094846
2229,7.86061009653378,7.54417392869668
2230,7.88175462633098,7.56783158398689
2231,7.90415744419407,7.59140130027021
2232,7.92621553485504,7.61486508182991
2233,7.94716647726818,7.63815276362223
2234,7.96809433618008,7.66127506902708
2235,7.98732426592704,7.68412459674583
2236,8.00600200496803,7.70668176551404
2237,8.02338457179899,7.72887629817849
2238,8.04119574150104,7.75076364476654
2239,8.05915569492583,7.7723757596417
2240,8.07750236496725,7.79375903214291
2241,8.09660956493786,7.81498279748118
2242,8.11712780585127,7.83615711966776
2243,8.13774776142391,7.85729259184203
2244,8.15661317876194,7.87826897857338
2245,8.17434377003568,7.89901789995906
2246,8.190377474083,7.91943637891366
2247,8.20568182190725,7.93949645955865
2248,8.2214283383723,7.95925424562591
2249,8.23670281722858,7.97869784152383
2250,8.25203004127526,7.99785296208241
2251,8.26732957976313,8.01673788344947
2252,8.28271517223923,8.03537757184786
2253,8.29876198834453,8.05383555175595
2254,8.31569666195337,8.07218677835858
2255,8.33305368806235,8.09046833139062
2256,8.34906760424471,8.10859096843224
2257,8.36479930188888,8.12654604844088
2258,8.37962153140376,8.14428157828692
2259,8.39326182600214,8.1617301140468
2260,8.40674706570032,8.17890090201868
2261,8.41928637325322,8.19574711584279
2262,8.43217113520495,8.21231571111969
2263,8.44579339209562,8.22867782700249
2264,8.45974952529688,8.24487133161896
2265,8.47495120370944,8.26099532905506
2266,8.491089794901,8.27712034922154
2267,8.50697493377062,8.29322855850674
2268,8.5226896761645,8.3093091936322
2269,8.53511875410468,8.32513392763011
2270,8.54688382050465,8.34067416012276
2271,8.55786369961725,8.35589480305053
2272,8.56911881939908,8.37083754211624
2273,8.58033141212901,8.38551887252673
2274,8.59235090677543,8.40001366148688
2275,8.60567179319245,8.41442618335681
2276,8.61983640186903,8.42882133147014
2277,8.63375726536364,8.4431832417174
2278,8.64632322660439,8.45741929185828
2279,8.65820711515091,8.47149050251463
2280,8.66913842894139,8.48534166919861
2281,8.67893011083908,8.49890834718878
2282,8.68903285573682,8.51223227274783
2283,8.69960972324102,8.52536368447839
2284,8.7103638299017,8.53832849466965
2285,8.72207670459029,8.55120556922089
2286,8.73522350295102,8.5641015460167
2287,8.74889244988821,8.57705169256001
2288,8.76128383170892,8.58996268087157
2289,8.77251901962512,8.60275622909142
2290,8.78096416599727,8.61524504130978
2291,8.7903494721542,8.62751635982336
2292,8.79910537064901,8.63954131770202
2293,8.80774123933406,8.65132876820999
2294,8.8166884654335,8.66291717579142
2295,8.82670686059724,8.67439555690261
2296,8.83837158710198,8.68588699709898
2297,8.85029146319884,8.69740846208326
2298,8.86242768748291,8.70897300939927
2299,8.87287484831006,8.72045925027013
2300,8.88137303635592,8.73173608839902
2301,8.89047319059011,8.74286038452058
2302,8.89976959707629,8.75385658213648
2303,8.90903960332777,8.76473180826157
2304,8.91822914495201,8.77548890161683
2305,8.92732162977989,8.7861293392065
2306,8.93631449794588,8.79665431513096
2307,8.94520845066656,8.80706498894929
2308,8.95400435270246,8.81736249956111
2309,8.96270249391496,8.82754792636543
2310,8.97130409027672,8.83762235833233
2311,8.97981197669381,8.84758700678711
2312,8.98822893273775,8.85744319295773
2313,8.99655199928802,8.86719193810536
2314,9.00478173732036,8.87683423123434
2315,9.01291797772003,8.88637098018806
2316,9.02096450375007,8.89580329431929
2317,9.02891933357776,8.90513206635052
2318,9.03678419968292,8.91435824785446
2319,9.04456237308277,8.92348295295046
2320,9.05225301074684,8.93250715860083
2321,9.05985712331844,8.94143184412824
2322,9.06737652701264,8.95025804750478
2323,9.07481159490802,8.95898676010679
2324,9.08216246367208,8.96761891341265
2325,9.08942793732865,8.97615528980868
2326,9.09660815129419,8.98459662634159
2327,9.10370779478492,8.9929439370261
2328,9.1107277238323,9.00119822480548
2329,9.11767146637493,9.00936066957466
2330,9.1245326897831,9.01743192475087
2331,9.13131825493512,9.02541307877018
2332,9.13802610911126,9.03330499993648
2333,9.14465168669308,9.04110817574439
2334,9.15119915593891,9.04882335163642
2335,9.1576751687156,9.05645168697733
2336,9.1640790428675,9.06399421207811
2337,9.1704020319124,9.0714512720921
2338,9.17664974851235,9.07882358131963
2339,9.18282882129528,9.08611226853712
2340,9.18893715252178,9.09331823640677
2341,9.1949749421572,9.10044233834576
2342,9.20093988590086,9.10748520647842
2343,9.20683628032695,9.11444772973372
2344,9.21266716887601,9.12133094802881
2345,9.21842884719863,9.12813556880264
2346,9.22412031275848,9.13486217965906
2347,9.22974181705342,9.14151134464766
2348,9.23529767625845,9.14808389076694
2349,9.24078898514234,9.15458066378077
2350,9.24621569285643,9.16100244661839
2351,9.25157733754761,9.16734993497471
2352,9.25687456520404,9.17362382106118
2353,9.26210765179137,9.17982476791875
2354,9.26727741218325,9.18595344922881
2355,9.27238492240472,9.19201056686898
2356,9.27743154299444,9.19799686887585
2357,9.28241565126791,9.20391293714589
2358,9.28734023416296,9.20975952212084
2359,9.29220291134367,9.21553715483758
2360,9.29700745508141,9.22124659347867
2361,9.3017508492141,9.22688833172061
2362,9.30643868679459,9.23246322060419
2363,9.31106775276901,9.2379718262183
2364,9.3156408061676,9.24341486833315
2365,9.32015493399959,9.24879281213505
2366,9.32461248305347,9.25410625467302
2367,9.32901554918686,9.25935589803255
2368,9.33336179181329,9.2645422310687
2369,9.33765440215269,9.26966593201827
2370,9.34189285048506,9.27472759446442
2371,9.3460775054224,9.27972779622436
2372,9.35021078921703,9.28466724437328
2373,9.35428955815267,9.28954637612294
2374,9.35831579886196,9.29436573726849
2375,9.36229324212757,9.29912609680902
2376,9.3662168011708,9.30382781337069
2377,9.37008879178368,9.30847138273787
2378,9.373911667994,9.31305743792862
2379,9.37768496205335,9.31758653481928
2380,9.38140875383968,9.32205919592823
2381,9.38508336643238,9.32647592979716
2382,9.38870794656739,9.33083714953242
2383,9.39228506088618,9.33514341916009
2384,9.39581696457864,9.33939542122302
2385,9.39930411403624,9.34359382241537
2386,9.40274099607637,9.34773885634554
2387,9.40613084752811,9.35183096708761
2388,9.40947440211607,9.35587061901441
2389,9.41277421535685,9.35985842304608
2390,9.41603290775791,9.36379513093469
2391,9.41924259813369,9.367680889436
2392,9.4224048087724,9.37151594170309
2393,9.42552954905906,9.3753012153066
2394,9.4286125852491,9.37903727611217
2395,9.43164993857508,9.38272437149757
2396,9.43464137009077,9.38636271475898
2397,9.43759149751817,9.38995282785474
2398,9.44050405318792,9.39349545772609
2399,9.44337444073025,9.39699097685502
2400,9.4462068711821,9.40044002672947
2401,9.44899827469014,9.40384298874655
2402,9.45174344759408,9.40719985290259
2403,9.45445227204537,9.41051130243611
2404,9.45712652072586,9.41377809693386
2405,9.4597575410534,9.41700033637776
2406,9.46234665245515,9.42017820620846
2407,9.46490023725598,9.42331232614427
2408,9.46741628131504,9.42640313132264
2409,9.46989466742194,9.42945101817248
2410,9.4723362087432,9.43245641232767
2411,9.47474228974907,9.43541980661736
2412,9.4771100108635,9.43834145613093
2413,9.47943953410545,9.44122160943539
2414,9.48173786300981,9.44406098848588
2415,9.48400020258402,9.44685992860988
2416,9.48622477731366,9.44961861720704
2417,9.48841606729736,9.45233754250937
2418,9.49057252454744,9.4550170500506
